Frame	 PSNR-Y 	 PSNR-U 	 PSNR-V 	 PSNR-All 	 Frame	  SSIM-Y	  SSIM-U	  SSIM-V	  SSIM-All	 Frame
    0	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	  min
    1	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    2	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    3	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    4	 61.225228	 98.745328	 83.063311	 62.978844	  min	  0.999357	  1.000000	  0.999995	  0.999571	  min
    5	 52.866536	 69.883242	 60.195895	 54.410564	  min	  0.994217	  0.999901	  0.999191	  0.995993	  min
    6	 55.174989	 71.025781	 65.643708	 56.811995	     	  0.996453	  0.999933	  0.999762	  0.997585	     
    7	 62.306855	 70.745035	 63.533294	 63.188843	     	  0.999156	  0.999931	  0.999628	  0.999364	     
    8	 59.237543	 66.035048	 57.004730	 59.324379	     	  0.998618	  0.999798	  0.998815	  0.998848	     
    9	 55.262401	 61.443968	 56.402307	 56.045493	     	  0.996822	  0.999679	  0.998537	  0.997584	     
   10	 54.385751	 58.576039	 59.518852	 55.457643	     	  0.995477	  0.998952	  0.999086	  0.996658	     
   11	 53.548935	 57.731123	 59.593441	 54.674282	     	  0.995041	  0.999075	  0.999145	  0.996397	     
   12	 53.062812	 58.614006	 58.582309	 54.255523	  min	  0.994815	  0.998878	  0.998842	  0.996163	     
   13	 54.247267	 58.932127	 57.484014	 55.203155	     	  0.995383	  0.998742	  0.998134	  0.996401	     
   14	 53.288454	 56.466718	 55.004263	 53.947968	  min	  0.994313	  0.998397	  0.997254	  0.995483	  min
   15	 53.345273	 56.774178	 56.419560	 54.183592	     	  0.994188	  0.997824	  0.997397	  0.995329	  min
   16	 53.085405	 56.473148	 56.172383	 53.921190	  min	  0.993858	  0.997560	  0.997159	  0.995025	  min
   17	 52.111712	 54.438532	 54.112073	 52.719746	  min	  0.992663	  0.996721	  0.996001	  0.993896	  min
   18	 52.275364	 54.635111	 54.241682	 52.882945	     	  0.992693	  0.996238	  0.995455	  0.993744	  min
   19	 51.245850	 53.723106	 53.628366	 51.915151	  min	  0.991044	  0.996079	  0.995289	  0.992591	  min
   20	 51.220580	 54.612918	 53.499290	 51.969495	     	  0.991826	  0.996213	  0.995040	  0.993093	     
   21	 50.442506	 53.379744	 52.101306	 51.071500	  min	  0.990597	  0.995580	  0.993803	  0.991962	  min
   22	 50.454189	 53.378229	 52.213396	 51.094955	     	  0.990158	  0.995275	  0.993464	  0.991562	  min
