Frame	 PSNR-Y 	 PSNR-U 	 PSNR-V 	 PSNR-All 	 Frame	  SSIM-Y	  SSIM-U	  SSIM-V	  SSIM-All	 Frame
    0	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	  min
    1	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    2	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    3	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    4	 61.225228	 98.745328	 83.063311	 62.978844	  min	  0.999357	  1.000000	  0.999995	  0.999571	  min
    5	 52.929145	 69.883242	 60.195895	 54.470102	  min	  0.993990	  0.999901	  0.999191	  0.995842	  min
    6	 55.193616	 71.084920	 65.740461	 56.832565	     	  0.996335	  0.999931	  0.999747	  0.997503	     
    7	 62.211032	 70.745035	 63.595205	 63.119723	     	  0.999126	  0.999931	  0.999615	  0.999341	     
    8	 59.237543	 66.035048	 57.004730	 59.324379	     	  0.998618	  0.999798	  0.998815	  0.998848	     
    9	 55.956507	 64.521893	 56.871390	 56.792676	     	  0.996885	  0.999755	  0.998461	  0.997626	     
   10	 54.768730	 58.852833	 60.189834	 55.850126	     	  0.995800	  0.998930	  0.999004	  0.996856	     
   11	 54.334802	 58.552711	 60.045681	 55.444490	     	  0.995285	  0.999015	  0.999099	  0.996543	     
   12	 53.064867	 58.614006	 58.582309	 54.257325	  min	  0.994815	  0.998878	  0.998842	  0.996163	     
   13	 54.648871	 59.029323	 57.905825	 55.584524	     	  0.995792	  0.998697	  0.998193	  0.996677	     
   14	 54.344861	 57.345594	 56.158836	 55.000151	     	  0.995156	  0.998194	  0.997339	  0.996026	     
   15	 53.826653	 56.875342	 56.837111	 54.622305	     	  0.994735	  0.997739	  0.997393	  0.995679	  min
   16	 53.463508	 56.661990	 56.408896	 54.267213	     	  0.994334	  0.997584	  0.997182	  0.995350	  min
   17	 52.901790	 55.301209	 55.015288	 53.531463	  min	  0.993667	  0.996674	  0.996182	  0.994587	  min
   18	 53.209927	 55.122483	 54.791016	 53.717133	     	  0.993884	  0.996373	  0.995645	  0.994592	     
   19	 52.331157	 54.538346	 54.452975	 52.940070	  min	  0.992623	  0.996029	  0.995484	  0.993668	  min
   20	 52.092697	 54.899465	 53.917878	 52.730188	  min	  0.992732	  0.996167	  0.994988	  0.993681	     
   21	 51.979044	 54.581170	 53.473542	 52.552255	  min	  0.992330	  0.995717	  0.994184	  0.993203	  min
   22	 51.645488	 54.261512	 53.265306	 52.236840	  min	  0.991793	  0.995345	  0.993828	  0.992724	  min
