Frame	 PSNR-Y 	 PSNR-U 	 PSNR-V 	 PSNR-All 	 Frame	  SSIM-Y	  SSIM-U	  SSIM-V	  SSIM-All	 Frame
    0	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    1	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    2	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    3	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    4	 61.225228	 98.745328	 83.063311	 62.978844	  min	  0.999357	  1.000000	  0.999995	  0.999571	     
    5	 52.995183	 69.883242	 60.200750	 54.533074	  min	  0.993151	  0.999901	  0.999189	  0.995282	     
    6	 55.276886	 71.228689	 65.924775	 56.918353	     	  0.996211	  0.999925	  0.999732	  0.997417	     
    7	 62.564193	 70.745035	 63.642560	 63.415344	     	  0.999151	  0.999931	  0.999610	  0.999357	     
    8	 59.237543	 66.035048	 57.004730	 59.324379	     	  0.998618	  0.999798	  0.998815	  0.998848	     
    9	 55.961051	 64.521893	 56.884669	 56.798520	     	  0.996888	  0.999755	  0.998459	  0.997628	     
   10	 54.768730	 58.852833	 60.189834	 55.850126	     	  0.995800	  0.998930	  0.999004	  0.996856	     
   11	 54.334802	 58.552711	 60.045681	 55.444490	     	  0.995285	  0.999015	  0.999099	  0.996543	     
   12	 53.064867	 58.614006	 58.582309	 54.257325	  min	  0.994815	  0.998878	  0.998842	  0.996163	     
   13	 54.650858	 59.039071	 57.915142	 55.587811	     	  0.995794	  0.998700	  0.998194	  0.996679	     
   14	 54.346655	 57.361986	 56.183324	 55.006252	     	  0.995159	  0.998189	  0.997331	  0.996026	     
   15	 53.971475	 56.916761	 56.963331	 54.754897	     	  0.994894	  0.997745	  0.997430	  0.995792	     
   16	 53.463508	 56.661990	 56.408896	 54.267213	     	  0.994334	  0.997584	  0.997182	  0.995350	     
